source_type,source_name,url,responsibilities_extracted,tools_mentioned,pain_points_noted
sales_enablement,Dock PMM Sales Enablement,https://www.dock.us/library/the-product-marketers-guide-to-sales-enablement,"Create sales collateral, deliver content, sit on sales calls, track usage","Digital sales rooms, content management","Content gets outdated; sales doesn't use it; no visibility"
sales_enablement,Sales Enablement Collective,https://www.salesenablementcollective.com/sales-enablement-vs-product-marketing/,"Create messaging, write battlecards, provide launch info, support training","Enablement platforms, CRM","Poor content quality; friction between PMM and enablement"
sales_enablement,MarketingProfs Alignment,https://www.marketingprofs.com/articles/2020/42810/five-ways-to-improve-product-marketing-and-sales-enablement-collaboration-to-drive-revenue,"Content creation, launch support, analytics tracking, team alignment","Sales enablement platforms, analytics","65% of marketing assets go unused; reps modify content"
sales_enablement,Bigtincan Content Guide,https://www.bigtincan.com/resources/sales-enablement-content-best-practices/,"Create sales collateral, learning content, organize assets","Content management systems","Finding assets takes 10-20 min each time"
sales_enablement,Dock Modern Enablement,https://www.dock.us/library/sales-enablement,"Content management, training, performance tracking","LMS, CMS, digital sales rooms","Enablement teams operate in reactive mode"
sales_enablement,SalesHood PMM Playbook,https://saleshood.com/blog/product-marketing-playbook-sales-enablement/,"Publish content, teach teams, practice pitches, measure outcomes","Enablement platforms, training tools","Need 10 must-have items for every launch"
positioning_messaging,Userpilot Messaging Framework,https://userpilot.com/blog/product-marketing-messaging-framework/,"Define target audience, create value propositions, develop messaging pillars","Product analytics, A/B testing","Messaging needs continuous refinement"
positioning_messaging,PMA Messaging Guide,https://www.productmarketingalliance.com/your-guide-to-messaging/,"Positioning strategy, messaging framework, content distribution","Collaboration tools, content platforms","Getting organization to adopt positioning"
positioning_messaging,PMA Positioning Process,https://www.productmarketingalliance.com/a-practical-guide-to-creating-a-winning-positioning-and-messaging-strategy/,"Market context analysis, positioning framework, messaging development","Research tools, documentation","Positioning must be reflected across sales, marketing, product"
positioning_messaging,Olivine Positioning Guide,https://www.olivinemarketing.com/positioning-messaging-guide,"Vision/mission statements, personas, JTBD, value propositions","Persona tools, messaging templates","Teams often misaligned on target audience"
positioning_messaging,Salesforce Messaging Article,https://www.salesforce.com/blog/build-product-messaging-and-positioning/,"Positioning framework, messaging approval process, market listening","CRM, collaboration tools","Multiple stakeholders slow approval process"
positioning_messaging,LinkedIn Messaging Framework,https://www.linkedin.com/advice/1/what-key-elements-product-messaging-framework,"Product vision, value props, positioning statements, proof points","Documentation tools","Framework only works if clear, real, believable"
gtm_strategy,PMA GTM Guide,https://www.productmarketingalliance.com/your-guide-to-go-to-market-strategies/,"Launch planning, market research, channel strategy, pricing","Project management, analytics","Not having enough time; pace of innovation too fast"
gtm_strategy,Product School GTM Guide,https://productschool.com/blog/product-strategy/go-to-market-strategies-product-managers,"GTM action plan, launch tracking, pain point resolution","Launch trackers, collaboration tools","Unrealistic timelines; complex processes"
gtm_strategy,Coursera GTM Overview,https://www.coursera.org/articles/go-to-market-strategy,"Market research, competitor analysis, value proposition, distribution","Research tools, analytics","Risk of poor sales, weak customer relationships without GTM"
gtm_strategy,Medium PMM Releases,https://medium.com/product-to-product/how-3-product-marketing-managers-execute-product-releases-f412f1dae352,"Launch coordination, goal setting, messaging alignment","Roadmapping tools, communication platforms","Ownership unclear; releases never go 100% to plan"
tools_tech_stack,Sprig Modern Tech Stack,https://sprig.com/blog/modern-product-tech-stack,"Roadmapping, experimentation, analytics, collaboration","Jira, Trello, Productboard, LaunchDarkly","Too many tools; integration challenges"
tools_tech_stack,Spekit PMM Software,https://www.spekit.com/blog/product-marketing-software,"Just-in-time enablement, messaging validation, sales training","Spekit, Wynter, Klue, Dovetail","All-in-one tools rarely work; need right tools not more tools"
tools_tech_stack,Ignition PMM Tools,https://www.haveignition.com/blog/the-ultimate-product-marketing-tech-stack-for-2023,"Roadmapping, content creation, competitive intel, analytics","Productboard, HubSpot, Canva, Klue","Tools expensive; adoption challenges"
